year,title,author,author_gender,POS,POS_ADJF/PRTF,genre,canon_status,narration
1763,"Награждённая постоянность, или Приключения Лизарка и Сарманды","Эмин, Федор Александрович ",m,PRTF NOUN CONJ NOUN NOUN CONJ NOUN,ADJF/PRTF NOUN CONJ NOUN NOUN CONJ NOUN,любовный,0,3 лицо
1763,"Непостоянная фортуна, или Похождения Мирамонда","Эмин, Федор Александрович ",m,ADJF NOUN CONJ NOUN NOUN,ADJF/PRTF NOUN CONJ NOUN NOUN,авантюрный,0,3 лицо
1763,"Приключения Фемистокла и разные политические, гражданские, философические, физические и военные его с сыном своим разговоры, постоянная жизнь и жестокость фортуны, его гонящей","Эмин, Федор Александрович ",m,NOUN NOUN CONJ ADJF ADJF ADJF ADJF ADJF CONJ NOUN NPRO PREP NOUN ADJF NOUN ADJF NOUN CONJ NOUN NOUN NPRO PRTF,NOUN NOUN CONJ ADJF ADJF ADJF ADJF ADJF CONJ NOUN NPRO PREP NOUN ADJF NOUN ADJF NOUN CONJ NOUN NOUN NPRO ADJF/PRTF,исторический,0,3 лицо
1766,"Пересмешник, или Славенские сказки","Чулков, Михаил Дмитриевич",m,NOUN CONJ ADJF NOUN,NOUN CONJ ADJF/PRTF NOUN, ,0,3 лицо
1766,Письма Эрнеста и Доравры,"Эмин, Федор Александрович ",m,NOUN NOUN CONJ NOUN,NOUN NOUN CONJ NOUN,"философский, любовный",0,в письмах
1768,"Нума, или процветающий Рим","Херасков, Михаил Матвеевич",m,NOUN CONJ PRTF NOUN,NOUN CONJ ADJF/PRTF NOUN,философский,0,3 лицо
1770,"Славянские древности, или Приключения славянских князей","Попов, Михаил Иванович ",m,ADJF NOUN CONJ NOUN ADJF NOUN,ADJF/PRTF NOUN CONJ NOUN ADJF/PRTF NOUN,"Псевдоисторический, волшебная сказка, галантный роман, рыцарский роман",0,3 лицо
1770,"Пригожая повариха, или Похождение развратной женщины","Чулков, Михаил Дмитриевич",m,ADJF NOUN CONJ NOUN ADJF NOUN,ADJF/PRTF NOUN CONJ NOUN ADJF/PRTF NOUN,"любовный, авантюрный",0,1 лицо
1773,Похождение новомодной красавицы Гуланданы и храброго принца Барама,"Игнатьев, Семен Егорович",m,NOUN ADJF NOUN NOUN CONJ ADJF NOUN NOUN,NOUN ADJF/PRTF NOUN NOUN CONJ ADJF/PRTF NOUN NOUN,"Фантастический, авантюрный, любовный",0,3 лицо
1775,"Несчастный Никанор, или Приключение жизни российского дворянина Н********","Назарьев, Александр Петрович",m,ADJF NOUN CONJ NOUN NOUN ADJF NOUN NOUN,ADJF/PRTF NOUN CONJ NOUN NOUN ADJF/PRTF NOUN NOUN, ,0,3 лицо
1778,Небылица,"Веревкин, Михаил Иванович",m,NOUN,NOUN,любовный,0,3 лицо
1779,"Лишенный зрения Ураний, несчастный государь",Иермонах Аполлос,m,PRTF NOUN NOUN ADJF NOUN,ADJF/PRTF NOUN NOUN ADJF/PRTF NOUN,"философский, нравоучительный",0,3 лицо
1780,Неразрывный союз двух братьев,"Аполлос, епископ Архангельский и Холмогорский",m,ADJF NOUN NUMR NOUN,ADJF/PRTF NOUN NUMR NOUN,"философский, нравоучительный",0,3 лицо
1781,"Дикий человек, смеющийся учености и нравам нынешнего света","Богданович, Петр Иванович",m,ADJF NOUN PRTF NOUN CONJ NOUN ADJF NOUN,ADJF/PRTF NOUN ADJF/PRTF NOUN CONJ NOUN ADJF/PRTF NOUN,Критика,0,3 лицо
1782,Повесть о приключении английского милорда Георга и бранденбургской маркграфини Фредерики Луизы,"Комаров, Матвей",m,NOUN PREP NOUN ADJF NOUN NOUN CONJ ADJF NOUN NOUN NOUN,NOUN PREP NOUN ADJF/PRTF NOUN NOUN CONJ ADJF/PRTF NOUN NOUN NOUN,"авантюрный, любовный",0,1 лицо
1782,Добродетельная Розана,"Лазаревич, Василий Васильевич",m,ADJF NOUN,ADJF/PRTF NOUN,,0,3 лицо
1783,Кто есть истинный друг,"Аполлос, епископ Архангельский и Холмогорский",m,NPRO INFN ADJF NOUN,NPRO INFN ADJF/PRTF NOUN,"философский, нравоучительный, аллегорический",0,3 лицо
1783,Досадное пробуждение,"Левшин, Василий Алексеевич",m,ADJF NOUN,ADJF/PRTF NOUN,"сатирический, бытовой",0,3 лицо
1783,Повесть о новомодном дворянине,"Левшин, Василий Алексеевич",m,NOUN PREP ADJF NOUN,NOUN PREP ADJF/PRTF NOUN,сатирический,0,3 лицо
1784,Новейшее путешествие,"Левшин, Василий Алексеевич",m,ADJF NOUN,ADJF/PRTF NOUN,? (утопический),0,3 лицо
1784,"Лейнард и Термилия, или Злосчастная судьба двух любовников","Неелова, Наталья Алексеевна",f,NOUN CONJ NOUN CONJ ADJF NOUN NUMR NOUN,NOUN CONJ NOUN CONJ ADJF/PRTF NOUN NUMR NOUN,Сентиментальная повесть,0,3 лицо
1784,"Путешествие в землю Офирскую господина С..., шведского дворянина","Щербатов, Михаил Михайлович",m,NOUN PREP NOUN ADJF NOUN PREP ADJF NOUN,NOUN PREP NOUN ADJF/PRTF NOUN PREP ADJF/PRTF NOUN,социально-психологический,0,1 лицо
1785,"Похождение Ивана гостиного сына, и другие повести и сказки","Новиков, Иван Алексеевич",m,NOUN NOUN ADJF NOUN CONJ ADJF NOUN CONJ NOUN,NOUN NOUN ADJF/PRTF NOUN CONJ ADJF/PRTF NOUN CONJ NOUN,Авантюрно-плутовской,0, 
1786,"Повесть дворянина T.L. Орлеанской провинции, писанная им самим о жизни деда, отца и своей","Лазинский, Федор",m,NOUN NOUN NOUN ADJF NOUN PRTF NOUN ADJF PREP NOUN NOUN NOUN CONJ ADJF,NOUN NOUN NOUN ADJF/PRTF NOUN ADJF/PRTF NOUN ADJF/PRTF PREP NOUN NOUN NOUN CONJ ADJF/PRTF, ,0,1 лицо
1786,"Лабиринт волшебства, или Удивительные приключения восточных принцев","Протопопов, Василий Михайлович",m,NOUN NOUN CONJ ADJF NOUN ADJF NOUN,NOUN NOUN CONJ ADJF/PRTF NOUN ADJF/PRTF NOUN,"Авантюрный, мотивы волшебно-рыцарского романа, фр. волшебных сказок",0,3 лицо
1786,Роза,"Эмин, Николай Федорович ",m,NOUN,NOUN,социально-психологический,0,в письмах
1787,"Любовь Периандра и Финомены, исполненная чувствительных для нежных сердец приключений","Протопопов, Василий Михайлович",m,NOUN NOUN CONJ NOUN PRTF ADJF PREP ADJF NOUN NOUN,NOUN NOUN CONJ NOUN ADJF/PRTF ADJF/PRTF PREP ADJF/PRTF NOUN NOUN,Псевдоисторический галантно-героический роман,0,3 лицо
